year,month,day,hour,minute,second,flow_mm_day
1990,1,1,0,0,0,0.571
1990,1,2,0,0,0,0.623
1990,1,3,0,0,0,1.202
1990,1,4,0,0,0,1.342
1990,1,5,0,0,0,0.898
1990,1,6,0,0,0,0.809
1990,1,7,0,0,0,1.246
1990,1,8,0,0,0,1.352
1990,1,9,0,0,0,1.295
1990,1,10,0,0,0,1.079
1990,1,11,0,0,0,2.093
1990,1,12,0,0,0,2.941
1990,1,13,0,0,0,1.445
1990,1,14,0,0,0,1.013
1990,1,15,0,0,0,0.889
1990,1,16,0,0,0,1.128
1990,1,17,0,0,0,2.489
1990,1,18,0,0,0,1.49
1990,1,19,0,0,0,1.161
1990,1,20,0,0,0,2.64
1990,1,21,0,0,0,1.253
1990,1,22,0,0,0,1.134
1990,1,23,0,0,0,1.556
1990,1,24,0,0,0,2.974
1990,1,25,0,0,0,1.834
1990,1,26,0,0,0,5.458
1990,1,27,0,0,0,2.49
1990,1,28,0,0,0,3.318
1990,1,29,0,0,0,3.036
1990,1,30,0,0,0,6.627
1990,1,31,0,0,0,7.136
1990,2,1,0,0,0,5.402
1990,2,2,0,0,0,4.535
1990,2,3,0,0,0,3.582
1990,2,4,0,0,0,2.73
1990,2,5,0,0,0,4.55
1990,2,6,0,0,0,2.556
1990,2,7,0,0,0,2.157
1990,2,8,0,0,0,5.923
1990,2,9,0,0,0,4.91
1990,2,10,0,0,0,2.828
1990,2,11,0,0,0,2.263
1990,2,12,0,0,0,2.398
1990,2,13,0,0,0,2.18
1990,2,14,0,0,0,2.633
1990,2,15,0,0,0,2.563
1990,2,16,0,0,0,2.032
1990,2,17,0,0,0,1.613
1990,2,18,0,0,0,3.662
1990,2,19,0,0,0,2.329
1990,2,20,0,0,0,6.635
1990,2,21,0,0,0,7.5
1990,2,22,0,0,0,3.195
1990,2,23,0,0,0,1.987
1990,2,24,0,0,0,1.6
1990,2,25,0,0,0,2.795
1990,2,26,0,0,0,3.957
1990,2,27,0,0,0,5.038
1990,2,28,0,0,0,3.106
1990,3,1,0,0,0,2.626
1990,3,2,0,0,0,2.191
1990,3,3,0,0,0,1.884
1990,3,4,0,0,0,2.408
1990,3,5,0,0,0,3.148
1990,3,6,0,0,0,2.185
1990,3,7,0,0,0,1.609
1990,3,8,0,0,0,1.42
1990,3,9,0,0,0,1.328
1990,3,10,0,0,0,1.323
1990,3,11,0,0,0,1.217
1990,3,12,0,0,0,1.086
1990,3,13,0,0,0,0.957
1990,3,14,0,0,0,1.127
1990,3,15,0,0,0,1.003
1990,3,16,0,0,0,0.903
1990,3,17,0,0,0,1.054
1990,3,18,0,0,0,0.814
1990,3,19,0,0,0,0.737
1990,3,20,0,0,0,0.691
1990,3,21,0,0,0,0.664
1990,3,22,0,0,0,0.628
1990,3,23,0,0,0,0.6
1990,3,24,0,0,0,0.576
1990,3,25,0,0,0,0.625
1990,3,26,0,0,0,0.61
1990,3,27,0,0,0,0.574
1990,3,28,0,0,0,0.544
1990,3,29,0,0,0,0.512
1990,3,30,0,0,0,0.497
1990,3,31,0,0,0,0.48
1990,4,1,0,0,0,0.466
1990,4,2,0,0,0,0.46
1990,4,3,0,0,0,0.468
1990,4,4,0,0,0,0.462
1990,4,5,0,0,0,0.444
1990,4,6,0,0,0,0.437
1990,4,7,0,0,0,0.558
1990,4,8,0,0,0,0.489
1990,4,9,0,0,0,0.44
1990,4,10,0,0,0,0.432
