year,month,day,hour,minute,second,rain_mm_day
1990,1,1,0,0,0,6.017
1990,1,2,0,0,0,4.929
1990,1,3,0,0,0,0.38
1990,1,4,0,0,0,0.073
1990,1,5,0,0,0,0.534
1990,1,6,0,0,0,4.487
1990,1,7,0,0,0,3.6
1990,1,8,0,0,0,0.345
1990,1,9,0,0,0,0.454
1990,1,10,0,0,0,2.99
1990,1,11,0,0,0,3.307
1990,1,12,0,0,0,0.688
1990,1,13,0,0,0,0.027
1990,1,14,0,0,0,0.323
1990,1,15,0,0,0,1.32
1990,1,16,0,0,0,3.852
1990,1,17,0,0,0,1.494
1990,1,18,0,0,0,0.601
1990,1,19,0,0,0,6.466
1990,1,20,0,0,0,0.263
1990,1,21,0,0,0,0.861
1990,1,22,0,0,0,2.448
1990,1,23,0,0,0,12.039
1990,1,24,0,0,0,3.589
1990,1,25,0,0,0,14.421
1990,1,26,0,0,0,3.048
1990,1,27,0,0,0,18.185
1990,1,28,0,0,0,12.32
1990,1,29,0,0,0,8.048
1990,1,30,0,0,0,4.279
1990,1,31,0,0,0,6.61
1990,2,1,0,0,0,7.564
1990,2,2,0,0,0,4.336
1990,2,3,0,0,0,0.297
1990,2,4,0,0,0,7.134
1990,2,5,0,0,0,0.021
1990,2,6,0,0,0,0.066
1990,2,7,0,0,0,24.037
1990,2,8,0,0,0,3.587
1990,2,9,0,0,0,1.143
1990,2,10,0,0,0,3.123
1990,2,11,0,0,0,5.208
1990,2,12,0,0,0,4.105
1990,2,13,0,0,0,5.91
1990,2,14,0,0,0,2.599
1990,2,15,0,0,0,1.39
1990,2,16,0,0,0,0.152
1990,2,17,0,0,0,3.199
1990,2,18,0,0,0,0.579
1990,2,19,0,0,0,16.399
1990,2,20,0,0,0,3.844
1990,2,21,0,0,0,2.429
1990,2,22,0,0,0,0.003
1990,2,23,0,0,0,0.504
1990,2,24,0,0,0,5.09
1990,2,25,0,0,0,6.077
1990,2,26,0,0,0,14.087
1990,2,27,0,0,0,7.309
1990,2,28,0,0,0,3.936
1990,3,1,0,0,0,3.583
1990,3,2,0,0,0,0.299
1990,3,3,0,0,0,0.191
1990,3,4,0,0,0,1.133
1990,3,5,0,0,0,0.092
1990,3,6,0,0,0,0.25
1990,3,7,0,0,0,0.06
1990,3,8,0,0,0,1.591
1990,3,9,0,0,0,0.867
1990,3,10,0,0,0,1.37
1990,3,11,0,0,0,0.127
1990,3,12,0,0,0,0.028
1990,3,13,0,0,0,5.436
1990,3,14,0,0,0,0.016
1990,3,15,0,0,0,0.636
1990,3,16,0,0,0,0.001
1990,3,17,0,0,0,0
1990,3,18,0,0,0,0.047
1990,3,19,0,0,0,1.096
1990,3,20,0,0,0,0.102
1990,3,21,0,0,0,0.24
1990,3,22,0,0,0,0.037
1990,3,23,0,0,0,0.131
1990,3,24,0,0,0,2.248
1990,3,25,0,0,0,0.466
1990,3,26,0,0,0,0
1990,3,27,0,0,0,0.049
1990,3,28,0,0,0,0.01
1990,3,29,0,0,0,0.799
1990,3,30,0,0,0,0
1990,3,31,0,0,0,0.005
1990,4,1,0,0,0,0.002
1990,4,2,0,0,0,0.642
1990,4,3,0,0,0,3.248
1990,4,4,0,0,0,0.047
1990,4,5,0,0,0,1.014
1990,4,6,0,0,0,0.821
1990,4,7,0,0,0,0.35
1990,4,8,0,0,0,0
1990,4,9,0,0,0,0.009
1990,4,10,0,0,0,0.149
1990,4,11,0,0,0,0.007
1990,4,12,0,0,0,0.307
